Num,Age,gender,SPS1,SPS2,SPS3,SPS4,SPS5,SPS6,SPS7,SPS8,SPS9,SPS10,SPS11,SPS12,SPS13,SPS14,SPS15,SPS16,SPS17,SPS18,SPS19,SPS20,SPS21,SPS22,SPS23,SPS24,SPS25,SPS26,SPS27
136,3,2,3,4,3,4,5,4,5,4,5,4,5,4,2,5,3,5,5,5,5,4,3,4,3,4,4,3,3
137,2,2,3,4,4,5,5,3,5,5,5,5,5,4,3,4,2,3,5,5,3,1,3,5,3,5,5,5,3
138,2,1,5,3,5,4,3,2,3,5,5,5,3,3,5,5,5,4,3,2,1,3,3,5,2,3,3,5,5
139,5,2,4,4,2,4,3,1,5,5,5,5,5,4,2,2,3,4,3,2,3,5,4,5,2,3,2,2,1
140,3,2,4,3,4,3,4,2,3,4,4,4,2,4,3,4,2,4,4,2,3,2,3,4,4,2,4,3,2
141,8,1,2,4,1,3,2,2,1,5,2,5,2,5,2,2,4,2,5,1,2,1,2,5,2,4,2,2,1
142,3,2,3,4,3,4,5,4,5,4,5,4,5,5,4,4,5,2,4,3,3,4,4,4,2,3,5,5,4
143,4,2,4,4,5,3,5,3,4,5,4,5,5,4,3,5,4,5,3,1,4,5,5,5,4,3,3,5,5
144,5,2,4,5,4,3,3,3,2,5,5,5,5,5,4,5,4,5,5,4,4,4,5,5,4,4,5,3,5
145,5,2,4,4,5,4,4,4,3,5,4,3,3,3,4,5,3,5,4,2,5,4,4,4,4,4,4,5,5
146,4,2,4,3,5,3,5,4,4,5,5,4,5,5,4,5,4,5,5,1,3,2,3,4,4,4,5,4,3
147,3,1,3,4,2,2,5,3,5,5,5,5,3,5,1,4,5,5,4,3,4,2,2,5,4,4,5,2,2
148,4,2,5,5,5,4,3,3,5,5,5,5,4,5,4,5,5,5,5,5,3,5,5,5,4,5,5,4,2
149,4,2,4,4,3,4,5,5,5,5,4,4,5,4,3,4,5,5,3,3,4,4,4,2,4,4,5,5,5
150,4,2,4,2,4,3,5,3,5,2,5,4,5,4,2,2,4,4,4,1,5,5,3,2,4,2,5,5,5
151,4,2,4,4,5,2,4,4,2,4,4,4,5,4,4,4,2,4,2,3,5,5,2,4,4,5,2,2,2
152,4,2,2,4,3,3,2,4,4,4,3,3,3,4,2,4,2,2,4,4,2,2,2,4,3,4,2,1,4
153,5,2,3,3,2,5,3,4,5,5,5,4,5,5,4,4,5,5,5,3,5,4,3,5,3,3,3,4,1
154,3,2,4,5,4,4,4,4,2,5,4,3,4,3,2,5,2,4,3,3,3,4,4,3,3,2,4,5,5
155,4,2,4,4,4,4,5,1,2,4,4,5,4,5,3,2,4,3,4,5,4,2,3,4,3,5,4,3,4
156,4,1,2,5,1,3,5,2,4,5,5,5,4,4,2,3,4,4,4,4,3,3,3,4,3,2,4,3,3
157,4,2,2,3,1,2,5,3,4,3,5,5,5,2,2,5,2,3,3,1,5,5,5,3,5,4,2,4,3
158,3,2,3,4,4,2,5,2,4,3,4,3,5,4,3,2,3,4,4,4,4,3,4,4,4,2,4,4,3
159,2,2,5,5,4,3,5,3,4,4,5,3,4,4,4,4,4,4,4,5,5,5,3,1,3,4,5,5,5
160,1,2,3,4,4,5,4,5,4,5,5,4,5,4,4,4,3,5,5,5,4,4,4,3,4,3,5,4,5
161,4,2,5,4,4,2,1,3,4,4,3,2,5,4,4,5,2,2,1,1,3,2,4,2,2,1,2,5,4
162,4,1,5,5,5,5,5,1,5,5,5,5,5,1,5,5,1,5,5,1,1,1,4,4,1,5,5,2,5
163,4,2,4,5,5,5,5,4,4,5,4,4,5,4,5,4,5,5,4,5,3,3,3,4,3,2,4,4,3
164,4,2,4,3,4,2,5,4,4,5,4,5,5,2,5,5,2,5,5,5,4,3,5,4,4,2,4,2,5
165,3,2,2,3,5,4,5,5,2,3,5,4,3,3,4,5,4,4,4,3,4,3,4,4,4,3,5,3,1
166,4,1,3,4,4,4,5,2,5,4,3,5,5,5,3,5,1,5,5,4,5,5,4,4,5,2,5,5,5
167,4,2,5,2,5,3,5,3,5,4,5,5,5,2,3,5,5,5,5,1,5,1,2,4,5,3,5,1,4
168,1,2,5,4,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,4,5,5,3,4,5,5,3
169,4,1,3,3,4,2,5,1,4,4,5,4,5,4,4,5,4,5,5,4,5,3,5,4,5,2,5,4,5
170,2,2,3,4,2,3,2,4,3,4,2,4,4,4,4,4,4,4,4,2,3,2,3,4,4,3,4,5,5
